學校,科系,項目,說明,指定項目甄試日期
淡江大學,企業管理學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、J、M、N)、學習歷程自述(O)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,課程學習成果(B、C、D、E)、多元表現(F、G、J、M、N)及學習歷程自述(O)所含項目無需全部具備。,114.5.16至114.5.18
淡江大學,企業管理學系全英語學士班,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、J、M、N)、學習歷程自述(O)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,課程學習成果(B、C、D、E)、多元表現(F、G、J、M、N)及學習歷程自述(O)所含項目無需全部具備。,--
淡江大學,統計與資料科學學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(H、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.上述審查資料項目，除修課紀錄(A)為必備外，其餘各項審查資料項目的內容無需全部具備。2.多元表現(H.幹部)：包含擔任班級幹部或社團幹部相關證明。3.多元表現(J.競賽表現)：包含參加校內外競賽得獎證明。4.多元表現(L.檢定證照)：包含通過數學能力檢定、語言能力檢定與資訊能力檢定相關證明。,114.5.16至114.5.18
淡江大學,資訊管理學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(G、I、J、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.修課記錄（A）課程學習成果（B、C、D、E）、多元表現（G、I、J、L）、學習歷程自述（O、P、Q），所含項目無需全部具備。2.多元表現「L.檢定證照」，例如 APCS成績(程式設計概念題、程式設計實作題)。3.社團活動經驗(G)：含資訊相關活動。,114.5.16至114.5.18
淡江大學,運輸管理學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、M)、學習歷程自述(O、P、Q)，所含括弧內項目無需全部具備。,114.5.16至114.5.18
淡江大學,公共行政學系,修課紀錄(A)、課程學習成果(E)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果準備指引：請提供能展現「公民與社會」相關科目，或能展現「社會參與」之核心素養的相關課程學習成果。2.多元表現準備指引：所含項目無需全部具備。3.學習歷程自述準備指引：請以條理分明的方式進行說明。,114.5.16至114.5.18
淡江大學,管理科學學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、K、M、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果指引：請提供能展現數學、英文、大數據資料分析相關領域、企業經營與行銷相關領域亦或含資料分析相關或企業經營與行銷相關之課程學習效果。2.多元表現準備指引：所含項目無需全部準備。3.學習歷程自述：審查時著重於實際參與經驗反思與成果表現。,114.5.16至114.5.18
淡江大學,外交與國際關係學系全英語學士班,修課紀錄(A)、課程學習成果(B)、多元表現(G、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.學習歷程自述(P)：就讀動機，請以英文撰寫。 
2.多元表現(L)：檢定證照。",114.5.16至114.5.18
淡江大學,國際觀光管理學系全英語學士班,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現(M.特殊優良表現證明)：請提供「英語領域之優良表現證明」、「任何展現人際關係、團隊合作能力、領導能力等之成果與表現證明」或「參與/舉辦活動、展演等優良表現證明」。,114.5.16至114.5.18
淡江大學,全球政治經濟學系全英語學士班,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、L、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述(Q.未來學習計劃與生涯規劃)：請提出清楚之生涯規劃及具體可行之學習計劃。,114.5.16至114.5.18
淡江大學,應用數學與數據科學學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.課程學習成果準備指引：提供能展現數學相關領域或能顯示數學相關學習能力之課程學習成果。
2.多元學習準備指引：社團活動經驗、擔任幹部經驗、服務學習經驗。 
3.高中自主學習計畫與成果：審查時著重實際參與經驗與學習成果。",114.5.16至114.5.18
淡江大學,化學學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果準備指引：請提供能展現化學、英文或生物相關領域或能顯示自然科學相關學習能力之課程學習成果。2.多元表現準備指引：所含項目無需全部具備。3.學習歷程自述準備指引：審查時著重於化學對於申請人生涯規劃之重要性。,114.5.16至114.5.18
淡江大學,物理學系(量子材料組),修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,課程學習成果準備指引(B、D)：請提供能展現數學、物理等自然科學領域相關學習能力之課程學習成果。,114.5.16至114.5.18
淡江大學,物理學系(天文與基礎物理組),修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,課程學習成果準備指引(B、D)：請提供能展現數學、物理等自然科學領域相關學習能力之課程學習成果。,--
淡江大學,建築學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果準備指引：請提供具有數理、科技、藝術、建築相關傑出作品或表現。2.多元表現準備指引：請提供參加數理、科技、藝術、建築相關競賽及成果，所含項目無需全部具備，至少具備一項(以上)即可。3.學習歷程自述於審查時著重了解自身特性與專業學習能力。,114.5.16至114.5.18
淡江大學,土木工程學系,修課紀錄(A)、課程學習成果(D)、多元表現(G、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.多元表現(M.特殊優良表現證明)：如數學、自然領域特殊優良表現證明。
2.多元表現(G.社團活動經驗)：含任何社團經驗或工程相關領域活動證明。
3.多元表現(N.多元表現綜整心得):請針對各項多元表現進行說明與反思。",114.5.16至114.5.18
淡江大學,資訊工程學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、L、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.檢定證照：資訊領域之相關檢定成績證明或證照，例如大學程式設計先修檢測試(APCS成績)。
2.特殊優良表現證明：包括參與資訊/數學/科學領域之相關活動、科展、研習之獎狀或證明或成果。",114.5.16至114.5.18
淡江大學,資訊工程學系全英語學士班,修課紀錄(A)、課程學習成果(B)、多元表現(F、L、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"多元表現之準備指引： 
1.檢定證照：資訊領域、外語證照之相關檢定成績證明或證照。
2.特殊優良表現證明：包括參與資訊/外語/數學/科學領域之相關活動、科展、研習之獎狀或證明或成果。",114.5.16至114.5.18
淡江大學,機械與機電工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現(F、G、J、N)：學生可就高中自主學習計畫與成果、社團活動經驗、競賽表現、或其他有利審查資料，選擇提供至多10件，並另撰寫「多元表現綜整心得」，據以綜合評量。,114.5.16至114.5.18
淡江大學,電機工程學系電機資訊組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果準備指引：請提供能展現數學、物理、電機相關領域或能顯示電機工程相關學習能力之課程學習成果。2.多元表現準備指引：所含項目無需全部具備。3.其他有利審查資料：如有大學程式設計先修檢測（APCS成績）等資料請檢附，可作為加分依據。,114.5.16至114.5.18
淡江大學,電機工程學系電機通訊組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.課程學習成果準備指引：請提供能展現數學、物理、電機相關領域或能顯示電機工程相關學習能力之課程學習成果。
2.多元表現準備指引：所含項目無需全部具備。",114.5.16至114.5.18
淡江大學,電機工程學系電機與系統組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.課程學習成果準備指引：請提供能展現數學、物理、電機相關領域或能顯示電機工程相關學習能力之課程學習成果。
2.多元表現準備指引：所含項目無需全部具備。",114.5.16至114.5.18
淡江大學,化學工程與材料工程學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.課程學習成果準備指引：請提供能展現自然科學領域或能顯示化學工程或材料工程相關學習能力之課程學習成果。
2.多元表現準備指引：所含項目無需全部具備。",114.5.16至114.5.18
淡江大學,航空太空工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、H、K、L、N)、學習歷程自述(O、P、Q)、其他(R.任何有利審查之項目) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果準備指引：請提供能展現數學、英文、物理等相關領域，或能顯示航太工程相關學習能力之課程 學習成果。2.多元表現準備指引：所含項目無須全部具備。3.學習歷程自述準備指引：於審查時著重於實際參與經驗與成果表現，以及就讀本系與未來規劃的關係。,114.5.16至114.5.18
淡江大學,水資源及環境工程學系,修課紀錄(A)、課程學習成果(D)、多元表現(G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現(L.檢定證照)：例如大考中心高中英語聽力測驗成績單或其他英語能力檢定證明。,114.5.16至114.5.18
淡江大學,人工智慧學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.課程學習成果、多元表現與人工智慧相關尤佳。
2.多元表現：若有大學程式設計先修檢測(APCS)相關表現，可作為加分依據。",114.5.16至114.5.18
淡江大學,資訊工程學系(APCS組),無資料,無資料,114.5.17
淡江大學,電機工程學系電機資訊組(APCS組),無資料,無資料,114.5.17
淡江大學,人工智慧學系(APCS組),無資料,無資料,114.5.17
淡江大學,資訊管理學系(APCS組),無資料,無資料,114.5.17
淡江大學,建築學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.課程學習成果、多元表現、學習歷程自述請詳閱「審查資料準備指引」。
2.其他(R.體驗學習報告書) 70%",--
逢甲大學,機械與電腦輔助工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.跨領域或多元學習成果) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。 3.若有其他各類型有助展現個人能力特質或學習表現，歡迎上傳至其他「R.跨領域或多元學習成果」。,114.5.16至114.5.17
逢甲大學,纖維與複合材料學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目【資料審查】及【面試】使用，參加第二階段甄試考生皆須繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有利審查資料:若有其他展現邏輯推理、實證能力或團隊合作等資料，歡迎提供。,114.5.16至114.5.17
逢甲大學,工業工程與系統管理學系A組,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.跨領域或多元學習成果)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。 3.若有其他各類型有助展現個人能力特質或學習表現，歡迎上傳至其他「R.跨領域或多元學習成果」,114.5.17至114.5.18
逢甲大學,工業工程與系統管理學系B組,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.跨領域或多元學習成果)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。 3.若有其他各類型有助展現個人能力特質或學習表現，歡迎上傳至其他「R.跨領域或多元學習成果」,114.5.17至114.5.18
逢甲大學,化學工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定項目「審查資料」使用，參加第二階段甄試之考生皆須繳交審查資料。
2.審查重點及準備指引請至本校招生網頁查看。
3.其他(R.其他有利審查之資料):可提供各類型活動或其他多元表現之成果或心得。",114.5.16至114.5.17
逢甲大學,航太與系統工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、H、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有利審查資料可包含航太活動參與經驗、航太時事反思、與航太相關連結事證或資料、英文能力或外語學習歷程、海外交流經驗等成果或心得。,114.5.16至114.5.17
逢甲大學,精密系統設計學士學位學程,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)、其他(R.跨領域或多元學習成果) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.若有其他各類型有助展現個人能力特質或學習表現，歡迎上傳至其他「R.跨領域或多元學習成果」。,114.5.15
逢甲大學,應用數學系A組,修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。,114.5.16至114.5.17
逢甲大學,應用數學系B組,修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。,114.5.16至114.5.17
逢甲大學,材料科學與工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有利審查資料：各類學習成果或多元活動參與證明或心得，歡迎提供，重質不重量。,114.5.16至114.5.17
逢甲大學,環境工程與科學學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)、其他(R.環保時事評析短文、S.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。 3.其他有利審查資料：歡迎提供校內外多元活動或表現(例如：國內外交流經驗等)，可附學習心得或成果。,114.5.16至114.5.17
逢甲大學,光電科學與工程學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「資料審查」及「面試」使用，參加第二階段考生皆須繳交審查資料。2.審查重點及準備指引請至本系招生網頁查看。3.其他有助審查資料(可提供)：外語(英文)能力或外語學習歷程，海外交流經驗等心得。,114.5.16至114.5.17
逢甲大學,會計學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.對會計系之瞭解、S.對國際議題之觀察見解) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。,114.5.16至114.5.17
逢甲大學,國際經營與貿易學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有助於審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有助於審查資料:(1)對本系最有興趣的課程。(2)論述國際經貿時事見解。(3)提供國內外交流經驗。,114.5.16至114.5.17
逢甲大學,國際企業管理全英語學士學位學程,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有助於審查資料:(1)外語能力學習歷程心得 (2)提供國際或跨文化交流經驗或心得。,114.5.16至114.5.17
逢甲大學,財稅學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助於審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定項目「審査資料」及「面試」使用,參加第二階段甄試考生皆需繳交審查資料。2.審査重點及準備指引請至本校招生網頁查看。3.其他有助於審查資料:商學領域活動成果表現與參與經驗、公益活動事例與見解、商學能力學習歷程心得。",114.5.16至114.5.17
逢甲大學,合作經濟暨社會事業經營學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。
2.審查重點及準備指引請至本校招生網頁查看。
3.其他有助審查資料：商業相關學習歷程心得、公益性活動事例與見解、企業永續議題時事反思。",114.5.17
逢甲大學,統計學系商業大數據組,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)、其他(R.商學相關資訊閱讀心得)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1. 審查資料係提供指定項目「面試」、「書面審查」使用，參加第二階段甄試考生皆須繳交。2. 審查重點及準備指引請至本校招生網頁查看。3. 審查資料以高中階段之資料為主，重質不重量。,114.5.17至114.5.18
逢甲大學,統計學系大數據分析與市場決策組,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)、其他(R.商學相關資訊閱讀心得)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1. 審查資料係提供指定項目「面試」、「書面審查」使用，參加第二階段甄試考生皆須繳交。2. 審查重點及準備指引請至本校招生網頁查看。3. 審查資料以高中階段之資料為主，重質不重量。,114.5.17至114.5.18
逢甲大學,經濟學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。
2.審查重點及準備指引請至本校招生網頁查看。
3.其他有助審查資料：可額外補充對經濟議題時事之看法，與經濟學相關活動經驗之心得等。",114.5.16至114.5.17
逢甲大學,企業管理學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「面試」、「審查資料」使用，參加第二階段甄試考生皆需繳交。2.審查重點及準備指引請至本校招生網頁查看。3.其他有助審查資料：可提供管理議題時事心得、多元學習相關成果、海外交流相關經驗。,114.5.17至114.5.18
逢甲大學,行銷學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助於審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有助於審查資料:(1)課外讀物之閱讀心得。(2)個人興趣之創作心路歷程。(3)參加校內或校外活動心得。非每項皆須兼備。,114.5.16至114.5.17
逢甲大學,中國文學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.作品成果集、S.參展心得與證明、T.多元或跨域學習成果) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆須繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。,114.5.16至114.5.17
逢甲大學,外國語文學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、L、N)、學習歷程自述(O、P、Q)、其他(R.英文短文(作文)、S.參與文化相關活動反思、T.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.學習歷程自述中請自行選擇適當項目(O、P、Q)以英文撰寫。4.其他有利審查資料：可包含各種多元學習表現或參與活動經驗等成果或心得。,114.5.17至114.5.18
逢甲大學,資訊工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P)、其他(R.運用網路資源學習經驗、S.程式設計相關活動) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。,114.5.16至114.5.17
逢甲大學,資訊工程學系(APCS組),無資料,無資料,114.5.16
逢甲大學,資訊工程學系(資安組),修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P)、其他(R.資安相關學習經驗) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.若有參與資安檢測(例如APCS檢測)、資安競賽等活動或資安相關學習經歷，請務必上傳至其他(R.資安相關學習經驗)。,114.5.17
逢甲大學,電子工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.數理/程式等學習活動) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。 2.審查重點及準備指引請至本校招生網頁查看。,114.5.16至114.5.17
逢甲大學,電機工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.數理/程式等學習活動) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。
2.審查重點及準備指引請至本校招生網頁查看。",114.5.16至114.5.17
逢甲大學,自動控制工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.數理/程式等學習活動、S.其他有利審查的資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。
2.審查重點及準備指引請至本校招生網頁查看。
3.其他有利審查的資料:如能呈現個人能力特質，請選擇提供。",114.5.16至114.5.17
逢甲大學,資訊電機學院學士班,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q)、其他(R.數理/程式等學習活動) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生需繳交審查資料。
2.審查重點及準備指引請至本校招生網頁查看。",114.5.16至114.5.17
逢甲大學,通訊工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.審查資料係提供指定項目「審查資料」及「面試」使用，參加第二階段甄試考生皆需繳交審查資料。2.審查重點及準備指引請至本校招生網頁查看。3.其他有利審查資料：如電機資訊等工程領域活動成果表現或參與經驗、個人特殊潛能或經歷等，歡迎提供。,114.5.16至114.5.17
